"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
17,16,"Scientist I/II, Biology","$67K-$137K (Glassdoor est.)","Cambridge","Blueprint Medicines","3.9","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",67,137,102,132.6,"Massachusetts"
18,17,"Customer Data Scientist","$118K-$189K (Glassdoor est.)","Mountain View","h2o.ai","4.3","CA","San Jose","Enterprise Software & Network Solutions","Information Technology",118,189,153.5,173.5,"California"
19,18,"Data Scientist - Health Data Analytics","$110K-$175K (Glassdoor est.)","San Francisco","Nuna","4.2","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",110,175,142.5,178.6,"California"
20,19,"Data Scientist","$64K-$111K (Glassdoor est.)","Denver","Pinnacol Assurance","4.0","CO","Denver","Insurance Carriers","Insurance",64,111,87.5,112.1,"West"
21,20,"Data Scientist","$81K-$130K (Glassdoor est.)","Seattle","Porch","3.2","WA","Seattle","Internet","Information Technology",81,130,105.5,124.6,"West"
22,21,"Senior Data Scientist / Machine Learning","$73K-$119K (Glassdoor est.)","Dallas","Health IQ","3.9","TX","Dallas","Insurance Agencies & Brokerages","Insurance",73,119,96,98.5,"South"
23,22,"Data Scientist - Quantitative","$86K-$139K (Glassdoor est.)","Chicago","Truckstop.com","3.8","IL","Chicago","Logistics & Supply Chain","Transportation & Logistics",86,139,112.5,100.1,"Midwest"
24,23,"Data Scientist","$63K-$105K (Glassdoor est.)","Louisville","SMC 3","4.3","KY","Louisville","Logistics & Supply Chain","Transportation & Logistics",63,105,84,91.6,"South"
25,25,"Data Scientist","$109K-$177K (Glassdoor est.)","Herndon","Novetta","4.0","VA","Washington","Enterprise Software & Network Solutions","Information Technology",109,177,143,120.1,"South"
26,26,"Digital Health Data Scientist","$63K-$110K (Glassdoor est.)","Cambridge","Pfizer","4.0","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,110,86.5,132.6,"Massachusetts"
27,27,"Data Scientist","$75K-$124K (Glassdoor est.)","Hillsboro","First Tech Federal Credit Union","3.5","OR","Portland, OR","Banks & Credit Unions","Finance",75,124,99.5,116.5,"West"
